Month,Sales,Profit,Orders
2023-01-01,14518.055,2539.3906999999995,33
2023-02-01,4519.892,862.3084,28
2023-03-01,56933.909,693.4498999999976,72
2023-04-01,28295.345,3488.8352,66
2023-05-01,26319.767,3196.3918,72
2023-06-01,34669.4796,4999.759399999999,67
2023-07-01,33946.393,-841.4826000000022,65
2023-08-01,28918.3385,5765.224999999999,75
2023-09-01,82670.4288,8593.630199999996,134
2023-10-01,32413.339,3469.174899999999,81
2023-11-01,78826.9567,9362.955699999997,152
2023-12-01,72008.3085,9554.657099999997,150
2024-01-01,18461.9156,-3189.803000000001,31
2024-02-01,11951.411,2813.8507999999997,36
2024-03-01,39978.628,9930.613399999998,81
2024-04-01,34195.2085,4187.496199999999,72
2024-05-01,30246.9465,4677.136999999999,75
2024-06-01,24797.292,3335.5571999999997,68
2024-07-01,28765.325,3288.648299999999,66
2024-08-01,37057.0042,5371.6273999999985,69
2024-09-01,64627.046,8220.025099999999,142
2024-10-01,31407.1335,2817.9659999999994,88
2024-11-01,75972.5635,12474.788399999998,158
2024-12-01,75532.5572,8093.062699999999,167
2025-01-01,18830.331000000002,2916.0233,50
2025-02-01,22978.815000000002,5004.579499999999,45
2025-03-01,53031.069,3707.8861999999986,88
2025-04-01,38829.159,2991.6608999999985,90
2025-05-01,57042.837999999996,8676.696399999999,109
2025-06-01,40937.148,4926.3193999999985,100
2025-07-01,40300.499,4559.882699999999,97
2025-08-01,31716.814300000002,2317.4992999999995,91
2025-09-01,73521.6629,9370.103099999997,195
2025-10-01,59831.001,16256.8422,107
2025-11-01,79411.9658,4011.407499999997,183
2025-12-01,97502.277,17926.3013,185
2026-01-01,44259.214,7231.6390999999985,71
2026-02-01,20301.1334,1613.8719999999987,53
2026-03-01,60728.4808,15013.090999999999,121
2026-04-01,36779.0361,957.5299999999979,117
2026-05-01,45155.4822,6299.807199999998,121
2026-06-01,53056.0777,8246.570699999998,134
2026-07-01,45989.496,7006.5012,112
2026-08-01,64129.758,9488.072199999999,114
2026-09-01,88064.532,11050.8024,231
2026-10-01,83474.7832,10670.531199999998,151
2026-11-01,118454.505,9692.103699999998,262
2026-12-01,85175.0328,8655.826899999998,236
